Time,Temperature,Ignored
2.43,29.97,6.54
2.48,29.97,8.58
2.52,30.07,5.73
2.53,29.97,16.72
2.57,29.97,14.69
2.58,30.03,14.12
2.62,29.97,14.69
2.63,29.97,12.65
2.65,30.03,8.03
2.73,29.97,16.7
2.77,30.07,13.84
2.78,29.97,28.88
3.02,30.07,19.82
3.12,30.07,27.89
9.37,30.1,12.68
10.43,30.1,9.97
10.45,30.1,11.99
10.7,30.07,1.97
10.72,30.07,8.06
11.13,30.1,11.65
11.45,30.1,1.32
11.47,30.1,3.36
11.55,30.1,7.39
11.65,30.1,5.32
11.68,30.07,7.6
11.7,30.07,3.52
11.72,30.07,5.56
11.75,30.1,7.32
11.8,30.1,5.26
11.87,30.07,7.53
11.95,30.1,0.0
12.0,30.1,7.23
12.02,30.1,11.28
12.03,30.07,5.44
12.07,30.1,3.14
12.17,30.07,1.33
12.2,30.03,7.68
12.28,30.07,7.38
12.38,30.1,0.98
12.45,30.07,5.29
12.47,30.07,1.22
12.48,30.07,7.31
12.5,30.03,7.58
12.52,30.1,0.94
12.57,30.0,11.91
12.6,30.03,5.51
12.63,30.07,9.3
12.65,30.1,0.9
12.68,30.0,5.79
12.7,30.0,3.75
12.75,30.07,0.0
12.83,30.0,1.68
12.87,30.1,4.93
12.88,30.1,0.0
12.9,30.1,6.95
12.95,30.07,15.32
12.97,30.1,0.83
13.0,30.07,0.0
13.05,30.1,0.8
13.1,30.03,5.38
13.12,30.07,3.07
13.13,30.03,3.36
13.15,30.03,5.37
13.2,30.1,6.87
13.22,30.1,0.0
13.23,30.1,0.0
13.25,30.03,3.33
13.28,30.1,0.0
13.3,30.03,3.32
13.32,30.1,0.0
13.33,30.07,7.11
13.37,30.07,3.02
13.38,30.03,0.0
13.4,30.03,0.0
13.42,30.07,3.02
13.43,30.0,3.59
13.45,30.0,3.59
13.47,30.03,0.0
13.48,30.07,5.06
13.5,30.07,0.0
13.53,30.03,7.36
13.55,30.03,7.35
13.57,30.07,0.0
13.58,30.03,5.3
13.63,30.0,5.59
13.65,30.1,0.0
13.75,30.03,5.26
13.77,30.1,0.67
13.78,30.07,0.94
13.8,30.03,3.24
13.82,30.0,9.61
13.83,30.07,0.93
13.85,30.07,0.0
13.87,30.0,7.56
13.88,30.0,3.51
13.92,30.1,2.69
13.95,30.1,0.0
14.0,30.07,2.92
14.02,30.1,4.7
14.03,30.03,9.29
14.05,30.1,0.61
14.08,30.0,1.43
14.1,30.07,0.88
14.12,30.0,17.69
14.13,30.1,2.65
14.15,30.1,0.0
14.17,30.07,0.0
14.18,30.1,4.67
14.22,30.1,0.0
14.23,30.03,7.22
14.25,30.07,2.87
14.28,30.03,3.15
14.3,30.03,1.11
14.32,30.07,6.93
14.33,30.03,0.0
14.42,30.1,0.0
14.43,30.1,4.63
14.45,30.03,5.14
14.47,30.03,5.14
14.48,30.07,0.0
14.5,29.97,9.76
14.52,30.0,1.36
14.53,30.1,0.54
14.55,30.0,3.4
14.57,30.03,5.13
14.58,30.1,0.53
14.6,30.07,0.8
14.62,30.07,2.82
14.63,30.1,8.66
14.65,29.97,9.73
14.68,30.0,11.49
14.7,30.0,0.0
14.72,30.03,1.05
14.75,30.1,0.0
14.78,30.1,0.0
14.8,30.0,3.35
14.82,30.07,0.0
14.83,30.03,3.06
14.85,30.03,0.0
14.87,30.0,11.47
14.88,30.07,0.0
14.92,30.03,5.07
14.93,30.03,1.02
14.95,30.1,4.55
14.98,30.03,1.01
15.02,30.03,7.1
15.03,30.03,7.1
15.08,30.03,11.15
15.1,30.03,3.02
15.12,30.03,0.99
15.13,30.03,0.99
15.15,30.1,0.44
15.18,30.07,2.72
15.2,30.1,2.47
15.23,30.07,0.0
15.25,29.97,13.71
15.27,29.97,11.68
15.28,30.03,0.0
15.3,30.07,0.0
15.32,29.97,9.63
15.35,30.0,7.32
15.37,29.97,5.58
15.38,30.1,0.0
15.45,30.0,13.41
15.48,30.0,5.28
15.52,30.03,9.05
15.53,30.1,0.0
15.55,30.1,0.0
15.57,30.07,0.65
15.6,30.0,0.0
15.62,30.07,0.0
15.67,30.03,9.04
15.68,29.97,3.49
15.7,30.03,0.91
15.72,30.03,9.03
15.75,30.03,0.0
15.77,30.0,5.25
15.78,29.97,9.57
15.8,29.97,1.44
15.85,30.03,4.94
15.87,30.03,0.89
15.88,30.07,4.67
15.9,30.03,0.0
15.92,30.07,2.63
15.93,30.07,0.0
15.95,30.1,4.41
15.98,30.03,2.9
16.0,30.1,0.32
16.02,30.07,0.0
16.03,30.1,0.0
16.05,30.1,0.0
16.07,30.1,0.0
16.08,30.0,7.22
16.1,30.03,2.88
16.12,30.03,8.97
16.13,30.07,8.7
16.15,30.03,0.0
16.17,30.03,0.84
16.18,30.07,0.57
16.2,30.07,0.0
16.22,30.1,0.0
16.23,30.07,10.71
16.25,30.03,2.86
16.27,30.1,0.0
16.28,30.03,0.0
16.3,30.1,0.0
16.33,30.07,4.6
16.4,30.1,0.0
16.42,30.1,0.0
16.47,30.03,2.83
16.52,30.03,0.0
16.53,30.03,0.79
16.55,30.07,0.0
16.57,30.03,0.79
16.58,30.0,3.11
16.6,30.03,0.79
16.63,30.1,0.0
16.65,30.1,0.0
16.67,30.03,0.78
16.68,29.97,5.4
16.75,29.97,3.37
16.77,30.03,2.82
16.78,29.97,11.5
16.82,29.97,7.44
16.87,30.0,1.06
16.9,30.0,5.13
16.95,29.97,1.33
16.97,29.97,1.33
16.98,30.07,0.0
17.02,30.03,8.91
17.03,30.03,0.0
17.05,30.03,0.0
17.07,30.03,4.83
17.08,30.0,0.0
17.1,30.0,5.13
17.12,30.03,6.87
17.15,30.07,0.0
17.17,30.0,0.0
17.18,30.1,0.0
17.22,30.07,0.0
17.23,30.03,6.87
17.25,30.07,0.0
17.27,30.03,0.0
17.3,30.0,5.12
17.35,30.0,5.12
17.37,30.03,2.8
17.38,30.03,6.86
17.4,30.03,0.0
17.42,30.0,7.13
17.43,29.97,3.34
17.45,29.97,9.43
17.48,30.0,0.0
17.5,30.03,0.0
17.52,30.0,1.03
17.53,30.03,6.85
17.57,30.03,2.78
17.58,30.1,2.25
17.6,30.1,0.0
17.62,30.1,0.0
17.63,30.03,0.74
17.65,30.07,0.46
17.67,30.0,5.08
17.72,30.0,3.05
17.78,30.03,2.75
17.8,30.1,2.22
17.82,30.0,7.08
17.83,30.03,0.0
17.85,30.1,0.0
17.87,30.03,0.0
17.88,29.97,1.26
17.9,29.97,5.33
17.92,30.0,0.0
17.93,29.97,5.33
17.95,30.03,2.74
17.97,30.1,0.17
17.98,30.1,0.0
18.02,30.07,2.45
18.03,29.97,11.42
18.05,30.0,3.02
18.1,30.07,0.0
18.12,30.1,0.0
18.13,30.03,0.0
18.18,30.07,0.0
18.2,30.07,0.42
18.22,30.1,0.15
18.23,29.97,7.34
18.27,30.03,0.0
18.28,30.0,0.0
18.3,30.03,2.72
18.32,29.97,5.31
18.35,30.03,0.0
18.37,29.97,7.34
18.38,29.97,7.34
18.4,30.03,4.74
18.42,30.0,7.05
18.43,30.0,5.03
18.45,30.07,0.0
18.48,30.07,2.42
18.52,29.97,9.34
18.53,30.1,0.13
18.57,30.07,4.46
18.58,30.03,0.0
18.6,30.0,0.0
18.62,30.03,2.7
18.63,30.1,0.0
18.65,30.03,0.0
18.67,30.03,0.0
18.7,30.03,0.0
18.72,30.03,0.66
18.73,30.03,0.0
18.75,30.07,0.0
18.77,30.03,0.0
18.78,30.07,0.0
18.8,30.1,0.0
18.82,30.03,0.65
18.83,30.0,9.06
18.85,30.03,0.65
18.87,30.1,6.21
18.9,30.03,0.0
18.92,30.0,0.0
18.93,30.07,0.0
18.97,30.07,0.36
18.98,30.1,0.0
19.0,30.0,4.97
19.02,29.97,13.37
19.03,30.03,4.67
19.07,30.0,0.89
19.08,29.97,7.27
19.1,30.03,0.0
19.12,30.0,11.06
19.15,29.97,7.26
19.2,30.03,0.0
19.22,30.07,0.0
19.25,30.03,4.66
19.27,30.0,4.96
19.28,30.03,2.64
19.3,29.97,0.0
19.32,30.07,2.35
19.33,30.03,0.0
19.35,30.03,2.63
19.37,30.0,0.0
19.38,30.03,2.63
19.4,30.0,4.95
19.42,30.03,0.0
19.45,30.0,0.0
19.48,30.0,6.96
19.5,30.07,0.0
19.52,30.0,0.0
19.55,30.1,0.0
19.57,30.1,2.09
19.6,30.03,2.62
19.62,29.97,9.26
19.67,30.03,2.62
19.68,30.0,4.93
19.7,29.97,7.23
19.72,30.0,0.0
19.73,30.0,0.86
19.75,29.97,3.16
19.77,30.03,0.58
19.8,30.0,0.0
19.82,30.03,0.0
19.85,30.03,0.59
19.87,30.0,6.95
19.88,30.07,0.0
19.9,30.03,0.0
19.95,30.03,0.0
19.97,30.0,2.91
20.0,30.03,0.0
20.02,29.97,0.0
20.03,30.0,0.87
20.05,30.03,2.63
20.08,30.03,0.0
20.12,30.07,0.0
20.13,29.97,0.0
20.15,30.07,0.33
20.17,30.1,0.0
20.18,30.1,0.06
20.2,30.07,0.0
20.3,30.07,0.0
20.32,30.03,0.0
20.33,30.0,6.97
20.38,30.1,6.16
20.4,30.03,0.59
20.42,30.07,0.0
20.43,30.03,0.59
20.47,30.03,4.64
20.48,30.03,6.68
20.5,30.1,0.0
20.53,30.07,6.4
20.57,30.0,2.88
20.58,30.03,0.56
20.63,30.07,0.0
20.65,30.0,0.0
20.68,30.1,0.0
20.7,30.0,2.88
20.72,30.03,0.0
20.73,30.0,2.88
20.75,30.07,0.0
20.82,30.07,2.31
20.83,30.0,0.0
20.85,29.97,0.0
20.87,30.07,0.0
20.88,30.0,2.88
20.9,30.0,6.93
20.92,30.03,0.0
20.93,30.03,0.56
20.95,29.97,0.0
20.97,30.03,2.59
20.98,30.03,0.56
21.0,29.97,3.13
21.02,29.97,1.1
21.03,29.97,0.0
21.05,29.97,11.27
21.07,30.0,0.0
21.1,30.1,0.0
21.12,30.0,4.91
21.15,30.1,0.0
21.18,30.07,0.0
21.2,30.1,0.0
21.22,30.03,0.0
21.27,30.03,0.0
21.28,30.03,0.56
21.3,29.97,13.3
21.32,30.0,0.83
21.33,30.0,0.83
21.35,29.97,5.18
21.37,30.07,0.0
21.4,29.97,1.1
21.43,30.03,0.55
21.45,30.0,0.0
21.48,29.97,5.18
21.5,29.97,7.21
21.52,30.1,0.01
21.55,30.03,0.0
21.57,30.03,0.0
21.6,30.03,0.0
21.62,30.0,4.9
21.63,30.07,0.28
21.65,30.0,0.0
21.67,30.0,0.83
21.68,29.97,0.0
21.72,30.0,0.0
21.77,30.0,0.83
21.78,30.0,0.0
21.8,29.97,0.0
21.82,30.1,2.06
21.83,30.0,4.91
21.85,30.0,0.0
21.87,29.97,3.14
21.92,30.0,0.83
21.93,29.97,1.1
21.95,30.0,2.88
21.97,30.0,0.0
22.0,29.97,0.0
22.02,30.07,4.36
22.05,30.03,0.0
22.07,30.03,0.56
22.08,30.07,0.0
22.1,30.0,4.9
22.12,29.97,7.21
22.13,29.97,5.17
22.15,30.0,4.9
22.18,30.03,0.0
22.2,30.0,0.0
22.22,29.97,3.13
22.23,30.03,0.0
22.27,30.0,8.97
22.3,29.97,1.1
22.33,30.07,0.0
22.42,30.07,0.0
22.48,30.1,0.0
22.5,29.97,5.19
22.52,30.07,4.36
22.53,30.07,2.32
22.55,29.97,0.0
22.57,30.03,0.0
22.58,30.07,2.31
22.62,30.03,0.0
22.63,30.0,0.84
22.65,30.03,2.6
22.67,29.97,0.0
22.7,30.0,0.84
22.72,30.07,0.0
22.77,30.07,0.0
22.8,30.0,0.0
22.82,30.07,0.0
22.83,30.07,0.0
22.85,30.03,0.57
22.87,30.0,0.0
22.88,30.07,0.0
22.9,30.03,0.0
22.92,30.1,0.0
22.93,29.97,9.24
22.97,30.0,0.0
23.0,30.1,0.0
23.02,29.97,1.11
23.03,30.07,0.0
23.07,29.97,0.0
23.08,30.07,0.3
23.1,30.0,6.93
23.12,30.0,2.88
23.13,29.97,7.22
23.15,30.0,0.84
23.17,30.1,0.0
23.18,30.03,0.0
23.2,29.97,13.31
23.22,30.0,0.83
23.28,30.0,6.92
23.3,30.07,4.34
23.35,30.03,0.0
23.37,30.03,0.0
23.38,29.97,7.19
23.42,30.03,0.53
23.47,30.0,6.9
23.5,30.07,0.0
23.52,29.97,0.0
23.53,30.03,8.65
23.55,30.07,0.0
23.57,30.07,0.0
23.58,30.0,0.79
23.6,30.07,0.0
23.62,30.07,0.0
23.63,30.07,0.24
23.65,30.0,15.02
23.67,30.07,0.23
23.68,30.1,0.0
23.7,30.0,6.87
23.72,30.07,4.29
23.73,30.1,0.0
23.75,30.03,4.54
23.8,30.03,4.53
23.83,30.1,0.0
23.85,30.03,0.47
23.87,30.0,0.75
23.88,30.03,8.6
23.9,30.1,0.0
23.92,30.1,1.97
23.95,30.07,4.25
23.97,30.1,0.0
24.03,30.07,0.0
24.1,30.07,0.17
24.12,30.0,4.78
24.17,30.07,0.16
24.18,30.1,0.0
24.23,30.07,0.14
24.27,30.1,0.0
24.3,30.03,0.0
24.32,30.0,6.77
24.33,30.0,2.71
24.4,29.97,8.99
24.42,30.03,0.0
24.43,29.97,6.97
24.47,30.07,0.0
24.48,30.07,0.25
24.5,30.07,0.0
24.52,30.07,0.0
24.53,30.07,2.26
24.57,30.03,8.57
24.58,29.97,0.85
24.6,29.97,0.85
24.62,30.1,0.0
24.63,29.97,6.96
24.65,30.0,0.64
24.67,30.1,0.03
24.68,30.07,0.0
24.7,30.07,0.0
24.72,30.03,0.0
24.73,30.07,2.24
24.75,29.97,4.91
24.77,30.03,2.46
24.8,29.97,6.94
24.82,30.0,2.67
24.83,30.0,0.0
24.85,30.0,4.71
24.87,30.1,0.0
24.88,30.07,0.22
24.9,29.97,2.86
24.92,29.97,4.9
24.93,29.97,6.94
24.95,30.03,2.45
24.97,30.0,0.0
25.0,29.97,6.93
25.05,29.97,8.94
25.07,30.0,6.7
25.1,30.07,0.0
25.13,29.97,2.84
25.15,30.07,0.0
25.18,30.0,4.68
25.22,30.0,4.68
25.23,30.03,0.39
25.25,30.1,0.0
25.32,30.0,0.0
25.33,30.07,2.21
25.35,30.1,0.0
25.38,30.0,6.68
25.42,30.1,0.0
25.48,30.07,6.24
25.5,30.0,8.69
25.53,30.03,0.0
25.55,30.0,0.54
25.57,30.0,6.64
25.58,30.03,0.0
25.6,30.07,4.19
25.62,30.1,0.0
25.63,30.0,0.0
25.65,30.0,6.62
25.67,29.97,4.81
25.7,30.07,0.0
25.72,30.07,0.11
25.73,29.97,6.83
25.75,30.07,4.17
25.8,29.97,0.7
25.82,30.1,1.93
25.83,30.1,0.0
25.85,30.07,0.0
25.87,30.07,0.0
25.88,30.1,0.0
25.92,30.0,0.48
25.93,30.0,0.0
25.95,30.1,1.91
25.97,30.1,0.0
25.98,30.07,2.08
26.0,30.07,0.06
26.03,30.0,0.46
26.05,29.97,4.74
26.08,30.07,2.07
26.1,30.07,0.0
26.12,30.07,4.11
26.13,29.97,2.69
26.15,30.07,0.0
26.18,30.0,2.5
26.2,30.0,0.46
26.22,30.07,0.0
26.23,30.03,2.28
26.25,29.97,4.73
26.27,30.0,0.45
26.28,30.07,0.04
26.3,30.07,0.0
26.32,30.0,0.0
26.33,30.0,2.49
26.35,30.0,0.0
26.37,30.0,0.0
26.38,30.0,6.54
26.42,30.0,0.45
26.45,29.97,0.0
26.47,30.0,0.44
26.53,30.03,0.0
26.55,29.97,2.68
26.57,30.0,8.58
26.58,29.97,4.72
26.6,30.07,6.12
26.67,30.0,0.44
26.68,30.03,0.0
26.7,30.07,4.09
26.72,29.97,6.74
26.73,30.03,14.44
26.77,29.97,2.66
26.8,30.07,0.0
26.82,30.03,0.0
26.87,30.1,0.0
26.93,30.1,0.0
27.02,30.03,2.21
27.03,30.03,0.0
27.05,30.0,2.43
27.08,30.0,0.0
27.12,30.07,0.0
27.13,30.0,8.5
27.15,30.1,0.0
27.17,30.07,4.01
